# Simulated Mandible data file for batch processing
# timestamp: 2021-05-20 08:20:46
# DCF
# ------------------------

"Prothorax.width","Mandible.length"
1322.28243860366,540.947479721214
1310.90578168552,403.851628919158
1289.58108330076,467.380230922269
1336.73209520005,535.804298038352
1248.04069758371,540.224312965991
1306.43376393511,425.452857665424
1256.33425439767,488.697870396459
1243.88260711949,509.99372559881
1230.99812527672,446.477175613934
1235.5228140024,481.456183119918
1396.40208966925,370.567370342589
1365.17887324281,502.604040671622
1255.49877662772,459.269048925007
1336.38129084285,476.425925439507
1265.37426974138,559.330741852997
1383.36203257859,550.527909457391
1088.53482601967,459.484734898162
1311.85159786456,457.32555624406
1176.67190536094,461.980124721929
1271.72753560867,547.048172015394
1259.35394448928,468.878630734341
1137.32153852078,486.031122066879
1374.65048639763,463.941338010594
1339.74948379587,332.319177530507
1437.94267916933,588.312925389677
1407.19422668976,603.095328546318
1267.39760885478,487.816394105779
1229.50713086942,328.230971263738
1368.32509607978,511.903974989115
1172.00549345788,447.641117683199
1348.82087112102,447.3780201863
1311.12763188801,450.806905173522
1317.51390305648,538.553152598357
1130.01781623196,563.436409915445
1375.80797587266,500.864094032634
1275.79270883412,468.462271859695
1356.7054012379,509.880153659081
1287.8445095925,462.540249261531
1240.66673513899,388.94306707078
1350.37790683208,458.157291591517
1289.35290179495,462.12243504009
1211.3675783055,577.35186308564
1409.32822538157,371.919168223872
1296.40107706281,458.728464010912
1288.30916858951,500.832006069954
1341.2434761945,450.041664223469
1263.50388937487,497.257315404226
1297.70527872692,539.049116287663
1312.61910615687,557.871261187132
1191.85707945429,490.04960674655
1298.8580027541,514.450892761705
1163.68272079952,453.316825152171
1342.87594870978,547.761547088716
1263.48046920979,376.081274653004
1299.11979113818,548.413207092266
1236.06257802411,519.361760776921
1177.96901361885,515.229496952874
1318.25571120495,473.491338125543
1179.23427422983,443.604277228754
1379.37342953897,408.690086538197
1233.78491839445,516.027888892874
1406.33967470007,448.775768971676
1185.11986468931,515.54222451567
1141.49438225139,456.785885832135
1373.08586404157,449.852768229977
1329.52780893145,513.662734324706
1291.21405125464,422.855770589279
1213.82194198437,483.343850880089
1274.69047845804,554.284874216415
1295.54927897149,378.369729223408
1383.17208631254,498.734288057503
1321.19349974396,454.489821902847
1199.82042625006,603.47742038429
1210.32844387684,392.316105459924
1347.0120870973,431.028288441737
1351.67693046637,468.497457068462
1101.23053673888,534.624755698982
1272.68313479694,458.756765137373
1268.7475417773,556.906789088399
1255.09162375701,483.060997390781
1312.23087476628,411.396907918003
1222.56979554294,422.171661347736
1154.22455928254,507.804555397479
1245.28925657647,504.628156916109
1212.80052962625,530.849717610385
1342.06957286337,585.005008369966
1229.40255158438,467.756363486619
1302.59996681888,506.874432171751
1189.87803784784,480.507076238356
1309.38078986073,513.185087450035
1340.48302321812,574.377053340252
1182.77976388235,477.343330623845
1261.75471519785,462.534429444305
1364.92942243709,511.289632729078
1293.19393404872,477.479554769495
1269.27229849275,538.224412518019
1353.07521004417,354.967496879809
1292.39879109965,420.481406008279
1193.41097347452,360.372772589906
1267.38496910822,513.512130546299
1222.84788022771,334.158304251532
1230.55983503465,473.281920264281
1290.35887425264,488.199789486284
1355.88584157626,465.939862253932
1361.01420340954,655.25536664641
1313.46570222914,442.31622846005
1445.80236837144,571.662864188687
1288.16314241456,509.094578052499
1374.75752314723,549.852925967968
1332.2004365223,470.228050048525
1222.28301159656,518.873840779196
1332.77414027296,593.633957211701
1244.39990723531,493.081530802901
1263.8597467259,397.202197259031
1348.88292351149,367.541968857491
1219.40906177079,447.542758326682
1280.39529476845,485.737620721194
1164.38716110647,527.306856677753
1252.4908427419,546.823866826442
1266.06723443655,487.768523254513
1364.61662341165,446.83104640167
1329.87678236858,431.914858305859
1279.58211341497,505.389486846797
1274.74128731271,394.811527922055
1228.80059057828,483.626924595534
1275.6609586104,369.773379661127
1470.89179097336,439.251805095187
1199.90016953661,499.894309038582
1260.16040200186,474.183415705331
1141.23143745042,505.787299524747
1364.54867900273,395.203420464651
1161.83542722871,444.8436528538
1247.44597371846,476.116882267793
1200.83546255197,475.55146795133
1276.60711195659,488.722640554601
1175.18138729823,439.492738765118
1381.29410776157,543.765029466669
1317.05398199689,507.629064260761
1326.35731749602,556.060542032925
1235.59158379842,481.909170789531
1152.52237815233,462.763232621705
1266.55717538447,437.871354501889
1263.46856278496,472.586854803948
1251.72876207319,401.374590258951
1243.85697997813,558.733461605282
1389.87278775465,442.80000738616
1292.34990793974,425.06157121956
1125.0285234036,483.042779609273
1118.80472126474,451.369686719893
1201.13367230722,436.389949518563
1240.65608716759,409.399405548389
1072.75649356745,401.916001736982
1314.29735864961,507.093586159681
1232.08733006714,609.043787936306
1258.41085622471,390.207750651155
1345.91321715481,446.409111680023
1391.55779382874,476.175252455112
1290.20291724502,398.34916189497
1312.99822754384,470.101788160206
1231.89467911017,436.076143213599
1302.17476001152,440.751781743733
1247.36588839925,436.180272166279
1244.3764640776,581.744655068539
1119.44309256796,460.042177240017
1302.73360244028,435.477795931521
1376.49945742867,467.924032607909
1213.72303900646,575.913793908501
1354.89295199659,438.390887585471
1292.60323095032,376.545172509928
1300.72510465792,504.356844489449
1246.49397924733,520.620200729912
1347.19061939379,416.264385600962
1320.35178251453,479.430377372967
1204.74004780004,434.568292043208
1075.24283385458,541.127290692958
1217.29030970212,523.888861511449
1335.68592303548,550.069198241097
1271.60102697766,461.296530958858
1128.38794338173,513.438867414271
1331.5501406022,578.148304141321
1321.84925358518,516.58030201922
1263.22387124755,498.165057976377
1219.3239800922,461.652701865501
1218.46329082154,448.44780735646
1237.0089312096,404.635965168781
1336.24478726854,542.063627821682
1336.74789318085,473.311429309252
1228.01935469369,555.754113834607
1363.39357554578,503.994651769623
1324.39709194411,598.728776064969
1206.70026658911,455.997781289012
1294.36622577824,463.664867740208
